Year,world_avg_p2,median_p2,std_p2,num_countries,avg_total_votes,yoy_change,rolling_3y,trendline_linear
1946,83.31,89.24,19.56,54,24,,,84.7
1947,85.58,89.18,20.53,57,12.2,2.27,82.85,84.83
1948,79.67,89.37,24.72,58,14.8,-5.91,81.77,84.96
1949,80.06,79.64,19.16,59,16.1,0.39,80.09,85.09
1950,80.56,83.96,21.36,60,17.2,0.5,82.08,85.22
1951,85.61,99.43,23.58,60,4.8,5.05,83.65,85.36
1952,84.79,89.64,19.0,60,27.2,-0.82,86.36,85.49
1953,88.68,97.44,17.5,60,10.8,3.89,85.56,85.62
1954,83.21,88.13,20.78,60,11.4,-5.47,84.15,85.75
1955,80.56,92.65,24.35,65,5.6,-2.65,83.77,85.88
1956,87.55,94.39,18.34,79,23.2,7.0,83.96,86.02
1957,83.77,89.12,18.26,82,25.8,-3.78,85.25,86.15
1958,84.42,92.31,20.66,82,13.6,0.65,82.93,86.28
1959,80.59,85.16,21.58,82,17.4,-3.83,84.07,86.41
1960,87.22,93.29,16.29,99,15.9,6.63,82.57,86.54
1961,79.9,84.79,20.06,104,35.8,-7.32,86.08,86.68
1962,91.12,94.64,13.97,110,15.7,11.23,87.45,86.81
1963,91.35,96.4,15.14,112,21.4,0.23,90.41,86.94
1965,88.75,93.49,17.08,117,25.5,-2.59,89.71,87.2
1966,89.02,90.9,13.69,121,23.3,0.27,88.16,87.34
1967,86.7,90.01,16.07,122,24.9,-2.33,88.86,87.47
1968,90.87,95.07,13.48,125,24.7,4.18,88.2,87.6
1969,87.02,89.88,15.76,125,29.4,-3.85,88.34,87.73
1970,87.14,90.6,16.52,125,34.7,0.12,87.6,87.86
1971,88.63,92.47,14.62,130,70.2,1.5,88.58,88.0
1972,89.98,93.28,13.14,131,76.4,1.35,90.13,88.13
1973,91.77,96.59,13.7,132,68.7,1.79,91.63,88.26
1974,93.12,96.06,11.75,135,52.0,1.35,90.43,88.39
1975,86.4,91.63,17.17,141,64.4,-6.72,88.96,88.52
1976,87.36,92.29,17.43,142,81.6,0.96,88.29,88.66
1977,91.11,94.84,12.63,144,87.1,3.75,88.53,88.79
1978,87.14,90.59,14.64,146,95.7,-3.96,89.53,88.92
1979,90.36,95.02,13.43,148,132.9,3.21,88.54,89.05
1980,88.12,92.59,14.61,149,98.9,-2.24,89.91,89.18
1981,91.24,95.36,12.65,153,131.8,3.12,90.07,89.32
1982,90.86,95.01,12.87,154,151.2,-0.39,91.28,89.45
1983,91.74,96.02,12.46,155,134.9,0.89,91.78,89.58
1984,92.74,96.27,11.39,156,134.7,0.99,91.9,89.71
1985,91.21,95.19,12.98,156,145.1,-1.52,91.62,89.84
1986,90.9,94.28,12.34,156,147.7,-0.32,91.2,89.98
1987,91.5,95.43,12.35,156,136.7,0.61,92.02,90.11
1988,93.67,96.75,11.0,156,132.4,2.17,92.97,90.24
1989,93.72,97.17,11.39,156,111.1,0.05,93.82,90.37
1990,94.05,98.1,11.43,154,82.4,0.33,94.02,90.5
1991,94.29,97.84,10.84,164,68.5,0.24,94.35,90.64
1992,94.71,97.08,9.58,174,65.9,0.41,93.15,90.77
1993,90.44,93.86,12.92,177,58.0,-4.26,91.26,90.9
1994,88.63,91.19,12.03,176,62.3,-1.81,90.32,91.03
1995,91.89,94.87,10.79,177,70.4,3.26,90.43,91.16
1996,90.77,94.4,12.93,180,68.2,-1.12,91.7,91.3
1997,92.45,94.9,10.16,176,66.5,1.67,92.15,91.43
1998,93.24,96.12,11.01,177,57.0,0.79,92.96,91.56
1999,93.2,96.34,10.53,173,62.8,-0.04,93.72,91.69
2000,94.72,97.46,10.95,183,59.7,1.52,94.0,91.82
2001,94.06,97.73,11.81,179,57.8,-0.65,94.01,91.96
2002,93.24,97.12,12.76,187,67.2,-0.82,93.49,92.09
2003,93.16,96.98,11.81,188,70.3,-0.08,93.34,92.22
2004,93.62,97.48,11.72,190,67.2,0.46,93.28,92.35
2005,93.07,96.8,11.46,190,66.9,-0.55,93.63,92.48
2006,94.21,97.46,11.07,192,92.8,1.14,93.89,92.62
2007,94.38,97.34,9.92,192,72.5,0.17,93.84,92.75
2008,92.93,95.9,10.78,192,71.1,-1.45,93.66,92.88
2009,93.69,97.58,11.34,192,62.3,0.76,93.23,93.01
2010,93.09,96.14,11.88,192,66.3,-0.6,93.27,93.14
2011,93.04,96.69,12.22,193,62.4,-0.05,92.91,93.28
2012,92.59,96.04,11.4,193,68.8,-0.45,92.76,93.41
2013,92.66,96.61,12.01,193,59.8,0.07,92.47,93.54
2014,92.15,96.08,12.41,193,73.8,-0.51,92.47,93.67
2015,92.61,96.35,11.1,193,72.0,0.46,92.11,93.8
2016,91.56,95.16,11.38,193,74.9,-1.04,92.42,93.94
2017,93.1,96.81,11.34,193,85.7,1.54,92.29,94.07
2018,92.21,95.69,10.16,193,98.1,-0.89,92.7,94.2
2019,92.79,96.27,10.52,193,91.7,0.58,92.56,94.33
2020,92.67,95.5,9.65,193,92.0,-0.12,92.5,94.46
2021,92.04,95.41,10.8,193,78.6,-0.64,91.2,94.6
2022,88.87,93.37,12.33,192,80.8,-3.16,90.5,94.73
2023,90.58,94.85,12.38,192,80.3,1.7,90.04,94.86
2024,90.68,94.89,12.07,191,88.3,0.1,92.19,94.99
2025,95.31,97.97,10.03,191,174.7,4.63,,95.12
