broad_region,avg_p2_2024,median_p2_2024,n_countries_2024,avg_p2_2025,median_p2_2025,n_countries_2025,avg_p2_change,median_p2_change
Northern America,96.53,96.53,2,86.17,86.17,2,-10.35,-10.35
Central Asia,98.27,98.24,5,99.44,99.33,5,1.16,1.09
South-eastern Asia,95.68,95.68,11,98.42,98.38,11,2.74,2.7
Africa,95.59,96.85,6,98.37,98.63,6,2.78,1.78
Sub-Saharan Africa,93.71,96.09,48,96.76,98.05,48,3.05,1.96
Northern Europe,94.26,95.0,10,97.55,97.85,10,3.29,2.85
Latin America & Caribbean,91.17,94.95,32,94.49,98.52,32,3.32,3.57
Southern Europe,93.18,93.95,14,96.95,97.37,14,3.77,3.42
Western Europe,92.91,94.84,9,96.82,97.7,9,3.91,2.86
Southern Asia,91.2,96.23,8,97.18,98.07,8,5.98,1.84
Eastern Europe,84.88,94.03,10,92.99,96.41,10,8.11,2.38
Western Asia,80.97,93.8,17,89.81,98.55,17,8.85,4.75
Oceania,82.37,83.74,14,92.23,93.25,14,9.86,9.51
Eastern Asia,80.54,79.21,5,93.02,92.01,5,12.48,12.8
