Year,world_avg_p3,median_p3,std_p3,num_countries,avg_total_votes,yoy_change,rolling_3y,trendline_linear
1946,68.08,78.47,29.25,54,24,,,75.13
1947,76.26,87.84,25.48,57,12.2,8.17,75.74,75.33
1948,82.89,92.25,28.53,58,14.8,6.63,76.07,75.53
1949,69.08,75.41,23.02,59,16.1,-13.81,72.18,75.73
1950,64.57,73.74,28.71,60,17.2,-4.51,69.18,75.93
1951,73.89,86.33,33.46,60,4.8,9.32,68.03,76.13
1952,65.64,79.21,30.61,60,27.2,-8.25,70.47,76.33
1953,71.9,77.03,26.12,60,10.8,6.26,68.19,76.53
1954,67.04,71.22,23.04,60,11.4,-4.86,67.93,76.73
1955,64.84,71.12,29.82,65,5.6,-2.2,68.32,76.92
1956,73.08,85.94,29.72,79,23.2,8.24,70.35,77.12
1957,73.13,81.44,24.1,82,25.8,0.05,75.81,77.32
1958,81.23,92.8,21.25,82,13.6,8.1,70.82,77.52
1959,58.12,70.08,32.87,82,17.4,-23.1,71.62,77.72
1960,75.52,81.95,20.74,99,15.9,17.4,69.71,77.92
1961,75.48,80.49,18.0,104,35.8,-0.04,76.81,78.12
1962,79.41,82.97,16.84,110,15.7,3.93,79.49,78.32
1963,83.57,91.53,20.51,112,21.4,4.15,81.98,78.52
1965,82.95,86.98,15.08,117,25.5,-0.62,83.75,78.91
1966,84.75,88.08,14.08,121,23.3,1.8,82.09,79.11
1967,78.57,87.3,22.68,122,24.9,-6.17,83.08,79.31
1968,85.91,91.32,15.71,125,24.7,7.33,82.38,79.51
1969,82.65,88.84,16.5,125,29.4,-3.25,82.72,79.71
1970,79.61,87.53,19.6,125,34.7,-3.04,80.96,79.91
1971,80.61,86.32,19.46,130,70.2,1.0,81.18,80.11
1972,83.31,90.05,18.77,131,76.4,2.7,83.4,80.3
1973,86.28,95.6,19.79,132,68.7,2.97,86.39,80.5
1974,89.56,94.41,13.57,135,52.0,3.28,86.16,80.7
1975,82.65,90.27,18.59,141,64.4,-6.91,86.34,80.9
1976,86.82,94.73,18.17,142,81.6,4.17,84.73,81.1
1977,84.74,93.07,18.99,144,87.1,-2.08,84.19,81.3
1978,81.0,89.28,20.2,146,95.7,-3.74,83.63,81.5
1979,85.16,93.84,20.75,148,132.9,4.16,83.35,81.7
1980,83.9,91.36,19.47,149,98.9,-1.26,85.82,81.9
1981,88.39,95.57,16.75,153,131.8,4.49,87.19,82.09
1982,89.27,95.72,15.51,154,151.2,0.88,88.86,82.29
1983,88.91,95.65,16.73,155,134.9,-0.36,89.27,82.49
1984,89.62,96.17,16.57,156,134.7,0.71,88.89,82.69
1985,88.14,95.11,17.46,156,145.1,-1.48,88.94,82.89
1986,89.07,94.85,16.06,156,147.7,0.93,89.38,83.09
1987,90.93,96.83,14.77,156,136.7,1.86,90.38,83.29
1988,91.15,96.85,15.47,156,132.4,0.22,91.42,83.49
1989,92.18,97.54,14.25,156,111.1,1.03,91.27,83.69
1990,90.47,97.96,16.93,154,82.4,-1.7,90.63,83.88
1991,89.24,97.68,16.62,164,68.5,-1.24,89.69,84.08
1992,89.35,94.84,12.99,174,65.9,0.11,87.5,84.28
1993,83.92,91.24,16.7,177,58.0,-5.43,85.45,84.48
1994,83.08,89.93,15.05,176,62.3,-0.84,84.27,84.68
1995,85.81,90.56,14.21,177,70.4,2.73,84.49,84.88
1996,84.59,89.59,14.32,180,68.2,-1.22,85.2,85.08
1997,85.2,91.2,14.59,176,66.5,0.61,85.7,85.28
1998,87.3,93.6,14.98,177,57.0,2.1,85.99,85.47
1999,85.48,91.86,15.57,173,62.8,-1.82,87.73,85.67
2000,90.41,95.01,12.33,183,59.7,4.93,87.49,85.87
2001,86.56,93.66,16.52,179,57.8,-3.85,87.9,86.07
2002,86.72,93.81,16.8,187,67.2,0.15,86.75,86.27
2003,86.97,94.39,15.97,188,70.3,0.25,87.12,86.47
2004,87.67,94.13,15.1,190,67.2,0.7,87.49,86.67
2005,87.83,93.3,14.39,190,66.9,0.16,88.31,86.87
2006,89.44,94.83,13.2,192,92.8,1.61,88.92,87.07
2007,89.47,95.53,13.14,192,72.5,0.02,89.09,87.26
2008,88.35,93.98,12.94,192,71.1,-1.12,87.88,87.46
2009,85.82,94.59,17.6,192,62.3,-2.53,87.0,87.66
2010,86.82,94.76,16.39,192,66.3,0.99,86.34,87.86
2011,86.38,93.19,16.22,193,62.4,-0.43,86.48,88.06
2012,86.23,93.14,15.41,193,68.8,-0.15,85.93,88.26
2013,85.17,93.57,16.94,193,59.8,-1.06,85.62,88.46
2014,85.45,93.04,16.24,193,73.8,0.28,85.09,88.66
2015,84.63,94.2,17.68,193,72.0,-0.82,85.01,88.85
2016,84.95,92.17,15.51,193,74.9,0.32,85.41,89.05
2017,86.63,94.55,15.83,193,85.7,1.68,86.24,89.25
2018,87.12,93.34,13.0,193,98.1,0.48,86.56,89.45
2019,85.92,93.86,15.52,193,91.7,-1.2,86.68,89.65
2020,87.01,92.69,13.27,193,92.0,1.09,85.73,89.85
2021,84.26,91.93,16.19,193,78.6,-2.75,83.53,90.05
2022,79.33,84.55,15.38,192,80.8,-4.93,81.85,90.25
2023,81.97,90.27,16.86,192,80.3,2.64,81.15,90.45
2024,82.16,90.09,16.16,191,88.3,0.19,85.65,90.64
2025,92.84,96.75,11.27,191,174.7,10.68,,90.84
