topic_l1,resolution_count,pct_of_192
POLITICAL AND LEGAL QUESTIONS,131,68.23
ECONOMIC DEVELOPMENT AND DEVELOPMENT FINANCE,45,23.44
SOCIAL CONDITIONS AND EQUITY,35,18.23
NATURAL RESOURCES AND THE ENVIRONMENT,30,15.62
HUMANITARIAN AID AND RELIEF,16,8.33
SCIENCE AND TECHNOLOGY,16,8.33
CULTURE,8,4.17
"AGRICULTURE, FORESTRY AND FISHING",7,3.65
HEALTH,7,3.65
INTERNATIONAL TRADE,6,3.12
TRANSPORT AND COMMUNICATIONS,4,2.08
EDUCATION,3,1.56
EMPLOYMENT,2,1.04
HUMAN SETTLEMENTS,2,1.04
RECOMMENDATIONS,1,0.52
