Region,P3_2024,P3_2025,Change,Countries
South-eastern Asia,92.99,98.19,5.19,11
Central Asia,91.98,97.61,5.63,5
Northern Africa,88.53,96.69,8.17,6
Sub-Saharan Africa,92.09,96.68,4.59,48
Southern Asia,86.66,95.88,9.22,8
Latin America & Caribbean,91.54,95.39,3.85,32
Oceania,78.72,91.48,12.76,14
Eastern Asia,73.66,91.15,17.49,5
Western Asia,78.66,90.18,11.53,17
Western Europe,65.07,88.58,23.52,9
Southern Europe,67.69,88.32,20.64,14
Northern Europe,63.28,87.34,24.07,10
Eastern Europe,58.76,85.9,27.14,10
Northern America,37.12,43.68,6.56,2
