ThematicGroup,YesVotes,NoVotes,AbstainVotes,TotalVotes,Tags,Yes_Pct,No_Pct,Abstain_Pct
Peace & Security,62,0,0,62,2,100.0,0.0,0.0
Disarmament & Arms Control,44,0,0,44,3,100.0,0.0,0.0
Human Rights & Equality,48,0,0,48,5,100.0,0.0,0.0
Refugees & Humanitarian Aid,13,0,0,13,2,100.0,0.0,0.0
International Law & Governance,17,0,0,17,5,100.0,0.0,0.0
Environment & Climate,44,0,0,44,8,100.0,0.0,0.0
Economic Development & Finance,41,0,0,41,9,100.0,0.0,0.0
Trade & Commodities,6,0,0,6,4,100.0,0.0,0.0
Social Welfare & Labor,41,0,0,41,4,100.0,0.0,0.0
Health & Nutrition,9,0,0,9,4,100.0,0.0,0.0
"Education, Culture & Communication",15,0,0,15,8,100.0,0.0,0.0
"Science, Technology & Energy",15,0,0,15,7,100.0,0.0,0.0
Political & Legal (General),110,0,0,110,2,100.0,0.0,0.0
Untagged,1,0,0,1,1,100.0,0.0,0.0
